List of Battle Hall Pokémon,,,,,,,,,,,,,,
Group 1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Pokémon in this group have base stat totals below 340 and may appear during a battle from Rank 1 to Rank 5 for a certain type.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Argenta will randomly use one of the Pokémon listed here each time when challenged for the Silver Print if the player is also using a Pokémon with a base stat total below 340.,,,,,,,,,,,,,,
# ,Pokémon ,Item ,Moves ,Nature ,EVs,,,,,,,,,
47,Parasect ,Parasect ,SilverPowder SilverPowder ,X-Scissor ,Spore ,Giga Drain ,Double Team ,Hasty ,- ,252,- ,- ,- ,252
51,Dugtrio ,Dugtrio ,Soft Sand Soft Sand ,Earthquake ,Slash ,Sandstorm ,Mud-Slap ,Jolly ,- ,252,- ,- ,- ,252
58,Growlithe ,Growlithe ,Charcoal Charcoal ,Flare Blitz ,Return ,Will-O-Wisp ,Flame Wheel ,Adamant ,- ,252,- ,- ,- ,252
61,Poliwhirl ,Poliwhirl ,Mystic Water Mystic Water ,Waterfall ,Body Slam ,Bubble Beam ,Double Team ,Lonely ,- ,252,- ,- ,- ,252
64,Kadabra ,Kadabra ,TwistedSpoon TwistedSpoon ,Psychic ,Facade ,Calm Mind ,Thunder Wave ,Rash ,- ,- ,- ,252,- ,252
67,Machoke ,Machoke ,Black Belt Black Belt ,Cross Chop ,Fire Punch ,Bulk Up ,Light Screen ,Jolly ,- ,252,- ,- ,- ,252
70,Weepinbell ,Weepinbell ,Miracle Seed Miracle Seed ,Poison Powder ,Sludge Bomb ,Energy Ball ,Synthesis ,Modest ,252,- ,- ,252,- ,-
75,Graveler ,Graveler ,Hard Stone Hard Stone ,Dig ,Stone Edge ,Rock Polish ,Double-Edge ,Adamant ,- ,252,- ,- ,- ,252
77,Ponyta ,Ponyta ,Charcoal Charcoal ,Tail Whip ,Flare Blitz ,Will-O-Wisp ,Return ,Jolly ,- ,252,- ,- ,- ,252
83,Farfetch'd ,Farfetch'd ,Stick Stick ,Slash ,Swords Dance ,Aerial Ace ,Swagger ,Adamant ,- ,252,- ,- ,- ,252
93,Haunter ,Haunter ,Spell Tag Spell Tag ,Shadow Ball ,Sludge Bomb ,Confuse Ray ,Hypnosis ,Timid ,- ,- ,- ,252,- ,252
95,Onix ,Onix ,Hard Stone Hard Stone ,Stone Edge ,Dig ,Sandstorm ,Protect ,Impish ,252,- ,252,- ,- ,-
105,Marowak ,Marowak ,Soft Sand Soft Sand ,Bone Rush ,Swords Dance ,Double-Edge ,Earth Power ,Hasty ,- ,252,- ,- ,- ,252
108,Lickitung ,Lickitung ,Silk Scarf Silk Scarf ,Body Slam ,Power Whip ,Curse ,Screech ,Adamant ,- ,252,252,- ,- ,-
109,Koffing ,Koffing ,Poison Barb Poison Barb ,Smog ,Sludge Bomb ,Frustration ,SmokeScreen ,Timid ,- ,- ,- ,252,- ,252
111,Rhyhorn ,Rhyhorn ,Soft Sand Soft Sand ,Stone Edge ,Dig ,Counter ,Curse ,Impish ,252,- ,252,- ,- ,-
114,Tangela ,Tangela ,Miracle Seed Miracle Seed ,Giga Drain ,Stun Spore ,Energy Ball ,Wring Out ,Modest ,- ,- ,252,252,- ,-
120,Staryu ,Staryu ,Mystic Water Mystic Water ,Water Pulse ,Swift ,Light Screen ,Cosmic Power ,Modest ,- ,- ,- ,252,- ,252
137,Porygon ,Porygon ,Silk Scarf Silk Scarf ,Tri Attack ,Signal Beam ,Trick Room ,Recover ,Quiet ,252,- ,- ,252,- ,-
138,Omanyte ,Omanyte ,Hard Stone Hard Stone ,Ancient Power ,Water Pulse ,Iron Defense ,Brine ,Rash ,252,- ,- ,252,- ,-
140,Kabuto ,Kabuto ,Hard Stone Hard Stone ,Waterfall ,Rock Slide ,Confuse Ray ,Rock Tomb ,Jolly ,- ,252,- ,- ,- ,252
148,Dragonair ,Dragonair ,Dragon Fang Dragon Fang ,Thunder Wave ,Dragon Rush ,Light Screen ,Return ,Jolly ,- ,252,- ,- ,- ,252
153,Bayleef ,Bayleef ,Miracle Seed Miracle Seed ,Body Slam ,Reflect ,Ingrain ,Seed Bomb ,Adamant ,252,252,- ,- ,- ,-
156,Quilava ,Quilava ,Charcoal Charcoal ,Will-O-Wisp ,Eruption ,Swift ,SmokeScreen ,Timid ,- ,- ,- ,252,- ,252
159,Croconaw ,Croconaw ,Mystic Water Mystic Water ,Aqua Tail ,Mud Sport ,Slash ,Scary Face ,Adamant ,- ,252,- ,- ,- ,252
162,Furret ,Furret ,Silk Scarf Silk Scarf ,Hyper Voice ,Mud-Slap ,Charm ,Double Team ,Rash ,- ,- ,- ,252,- ,252
166,Ledian ,Ledian ,SilverPowder SilverPowder ,Bug Buzz ,Reflect ,Air Cutter ,Light Screen ,Timid ,252,- ,- ,- ,- ,252
168,Ariados ,Ariados ,SilverPowder SilverPowder ,Poison Jab ,Bug Bite ,Double Team ,Disable ,Jolly ,- ,252,- ,- ,- ,252
176,Togetic ,Togetic ,Silk Scarf Silk Scarf ,Return ,Aerial Ace ,Roost ,Yawn ,Jolly ,- ,252,- ,- ,- ,252
180,Flaaffy ,Flaaffy ,Magnet Magnet ,Thunder ,Body Slam ,Reflect ,Flash ,Lax ,- ,- ,252,252,- ,-
184,Azumarill ,Azumarill ,Mystic Water Mystic Water ,Water Pulse ,Aqua Ring ,Return ,Light Screen ,Gentle ,252,- ,- ,- ,252,-
185,Sudowoodo ,Sudowoodo ,Hard Stone Hard Stone ,Double-Edge ,Stone Edge ,Sandstorm ,Mimic ,Impish ,- ,252,252,- ,- ,-
188,Skiploom ,Skiploom ,Miracle Seed Miracle Seed ,Bounce ,Poison Powder ,Sunny Day ,Solar Beam ,Quiet ,- ,252,- ,252,- ,-
190,Aipom ,Aipom ,Silk Scarf Silk Scarf ,Frustration ,Iron Tail ,Fake Out ,Swagger ,Adamant ,- ,252,- ,- ,- ,252
192,Sunflora ,Sunflora ,Miracle Seed Miracle Seed ,Sunny Day ,Solar Beam ,Facade ,Leech Seed ,Quiet ,252,- ,- ,252,- ,-
193,Yanma ,Yanma ,SilverPowder SilverPowder ,Bug Buzz ,Air Slash ,Double Team ,Supersonic ,Modest ,- ,- ,- ,252,- ,252
195,Quagsire ,Quagsire ,Mystic Water Mystic Water ,Earth Power ,Muddy Water ,Yawn ,Endure ,Modest ,- ,- ,252,252,- ,-
198,Murkrow ,Murkrow ,Sharp Beak Sharp Beak ,Confuse Ray ,Psycho Shift ,Drill Peck ,Feint Attack ,Adamant ,- ,252,- ,- ,- ,252
200,Misdreavus ,Misdreavus ,Spell Tag Spell Tag ,Shadow Ball ,Frustration ,Pain Split ,Confuse Ray ,Hasty ,- ,- ,- ,252,- ,252
202,Wobbuffet ,Wobbuffet ,Sitrus Berry Sitrus Berry ,Counter ,Mirror Coat ,Safeguard ,Charm ,Calm ,- ,- ,252,- ,252,-
206,Dunsparce ,Dunsparce ,Silk Scarf Silk Scarf ,Ancient Power ,Headbutt ,Yawn ,Roost ,Jolly ,- ,252,- ,- ,- ,252
207,Gligar ,Gligar ,Soft Sand Soft Sand ,Sandstorm ,Earthquake ,Aerial Ace ,Double Team ,Jolly ,- ,252,- ,- ,- ,252
211,Qwilfish ,Qwilfish ,Mystic Water Mystic Water ,Poison Jab ,Dive ,Stockpile ,Minimize ,Careful ,- ,- ,252,- ,252,-
215,Sneasel ,Sneasel ,BlackGlasses BlackGlasses ,Ice Shard ,Payback ,Punishment ,Ice Punch ,Jolly ,- ,252,- ,- ,- ,252
219,Magcargo ,Magcargo ,Charcoal Charcoal ,Ancient Power ,Light Screen ,Recover ,Flamethrower ,Sassy ,252,- ,- ,- ,252,-
222,Corsola ,Corsola ,Mystic Water Mystic Water ,Power Gem ,Brine ,Amnesia ,Aqua Ring ,Modest ,252,- ,- ,252,- ,-
239,Elekid ,Elekid ,Magnet Magnet ,Thunder Punch ,Facade ,Thunder Wave ,Quick Attack ,Adamant ,- ,252,- ,- ,- ,252
240,Magby ,Magby ,Charcoal Charcoal ,Fire Punch ,Will-O-Wisp ,Confuse Ray ,Return ,Jolly ,- ,252,- ,- ,- ,252
247,Pupitar ,Pupitar ,Hard Stone Hard Stone ,Stone Edge ,Dig ,Sandstorm ,Protect ,Adamant ,- ,252,252,- ,- ,-
253,Grovyle ,Grovyle ,Miracle Seed Miracle Seed ,Leaf Blade ,Crush Claw ,Swords Dance ,Swagger ,Jolly ,- ,252,- ,- ,- ,252
256,Combusken ,Combusken ,Charcoal Charcoal ,Sky Uppercut ,Fire Punch ,Will-O-Wisp ,Bulk Up ,Jolly ,- ,252,- ,- ,- ,252
259,Marshtomp ,Marshtomp ,Mystic Water Mystic Water ,Muddy Water ,Earth Power ,Dive ,Dig ,Mild ,- ,- ,- ,252,252,-
262,Mightyena ,Mightyena ,BlackGlasses BlackGlasses ,Crunch ,Frustration ,Sand Attack ,Swagger ,Jolly ,- ,252,- ,- ,- ,252
264,Linoone ,Linoone ,Silk Scarf Silk Scarf ,Slash ,Gunk Shot ,Charm ,Last Resort ,Jolly ,- ,252,- ,- ,- ,252
267,Beautifly ,Beautifly ,SilverPowder SilverPowder ,Stun Spore ,Bug Buzz ,Air Cutter ,Roost ,Modest ,- ,- ,- ,252,- ,252
269,Dustox ,Dustox ,SilverPowder SilverPowder ,Toxic ,Sludge Bomb ,Bug Buzz ,Roost ,Calm ,- ,- ,252,- ,252,-
271,Lombre ,Lombre ,Mystic Water Mystic Water ,Rain Dance ,Giga Drain ,Water Pulse ,Leech Seed ,Bold ,- ,- ,252,252,- ,-
274,Nuzleaf ,Nuzleaf ,Miracle Seed Miracle Seed ,Dark Pulse ,Nasty Plot ,Energy Ball ,Swagger ,Modest ,- ,- ,- ,252,- ,252
277,Swellow ,Swellow ,Sharp Beak Sharp Beak ,Double Team ,Roost ,Facade ,Sky Attack ,Adamant ,- ,252,- ,- ,- ,252
279,Pelipper ,Pelipper ,Sharp Beak Sharp Beak ,Air Slash ,Water Pulse ,Aqua Ring ,Hydro Pump ,Timid ,- ,- ,- ,252,- ,252
284,Masquerain ,Masquerain ,SilverPowder SilverPowder ,Air Slash ,Bug Buzz ,Stun Spore ,Double Team ,Mild ,- ,- ,252,252,- ,-
294,Loudred ,Loudred ,Silk Scarf Silk Scarf ,Hyper Voice ,Water Pulse ,Rest ,Snore ,Modest ,- ,- ,252,252,- ,-
299,Nosepass ,Nosepass ,Hard Stone Hard Stone ,Stone Edge ,Double-Edge ,Thunder Wave ,Magnet Rise ,Impish ,- ,252,252,- ,- ,-
301,Delcatty ,Delcatty ,Silk Scarf Silk Scarf ,Foresight ,Mud-Slap ,Charge Beam ,Ice Beam ,Modest ,- ,- ,- ,252,252,-
302,Sableye ,Sableye ,Spell Tag Spell Tag ,Shadow Claw ,Torment ,Payback ,Double Team ,Gentle ,- ,252,- ,- ,252,-
303,Mawile ,Mawile ,Metal Coat Metal Coat ,Iron Head ,Strength ,Sandstorm ,Tickle ,Impish ,- ,252,252,- ,- ,-
305,Lairon ,Lairon ,Metal Coat Metal Coat ,Metal Burst ,Iron Tail ,Stone Edge ,Iron Defense ,Impish ,252,- ,252,- ,- ,-
308,Medicham ,Medicham ,Black Belt Black Belt ,Psycho Cut ,Force Palm ,Recover ,Double Team ,Adamant ,- ,252,252,- ,- ,-
311,Plusle ,Plusle ,Magnet Magnet ,Nasty Plot ,Swift ,Thunderbolt ,Thunder Wave ,Timid ,- ,- ,- ,252,- ,252
312,Minun ,Minun ,Magnet Magnet ,Fake Tears ,Swift ,Thunderbolt ,Thunder Wave ,Timid ,- ,- ,- ,252,- ,252
313,Volbeat ,Volbeat ,SilverPowder SilverPowder ,Bug Buzz ,Tail Glow ,Quick Attack ,Attract ,Rash ,- ,- ,- ,252,- ,252
314,Illumise ,Illumise ,SilverPowder SilverPowder ,Bug Buzz ,Attract ,Charm ,Frustration ,Mild ,- ,- ,- ,252,- ,252
315,Roselia ,Roselia ,Miracle Seed Miracle Seed ,Synthesis ,Giga Drain ,Sludge ,Ingrain ,Modest ,- ,- ,252,252,- ,-
320,Wailmer ,Wailmer ,Mystic Water Mystic Water ,Water Spout ,Sleep Talk ,Body Slam ,Rest ,Modest ,252,- ,- ,252,- ,-
327,Spinda ,Spinda ,Silk Scarf Silk Scarf ,Teeter Dance ,Zen Headbutt ,Frustration ,Fake Out ,Adamant ,- ,252,- ,- ,- ,252
329,Vibrava ,Vibrava ,Soft Sand Soft Sand ,Outrage ,Earthquake ,Screech ,Sandstorm ,Adamant ,- ,252,- ,- ,- ,252
345,Lileep ,Lileep ,Hard Stone Hard Stone ,Giga Drain ,Ancient Power ,Ingrain ,Confuse Ray ,Modest ,- ,- ,252,252,- ,-
347,Anorith ,Anorith ,Hard Stone Hard Stone ,X-Scissor ,Protect ,Stone Edge ,Sandstorm ,Adamant ,- ,252,252,- ,- ,-
351,Castform ,Castform ,Sitrus Berry Sitrus Berry ,Weather Ball ,Rain Dance ,Sunny Day ,Hail ,Modest ,- ,- ,- ,252,- ,252
358,Chimecho ,Chimecho ,TwistedSpoon TwistedSpoon ,Psychic ,Calm Mind ,Yawn ,Double-Edge ,Hasty ,- ,- ,- ,252,- ,252
364,Sealeo ,Sealeo ,NeverMeltIce NeverMeltIce ,Blizzard ,Waterfall ,Rest ,Snore ,Modest ,252,- ,- ,252,- ,-
366,Clamperl ,Clamperl ,Mystic Water Mystic Water ,Mud Sport ,Aqua Ring ,Dive ,Body Slam ,Gentle ,252,- ,- ,- ,252,-
372,Shelgon ,Shelgon ,Dragon Fang Dragon Fang ,Dragon Rush ,Double-Edge ,Iron Defense ,Swagger ,Adamant ,- ,252,252,- ,- ,-
375,Metang ,Metang ,Metal Coat Metal Coat ,Flash Cannon ,Psychic ,Reflect ,Magnet Rise ,Timid ,- ,- ,- ,252,- ,252
388,Grotle ,Grotle ,Miracle Seed Miracle Seed ,Leaf Storm ,Body Slam ,Seed Bomb ,Leech Seed ,Brave ,- ,252,252,- ,- ,-
391,Monferno ,Monferno ,Charcoal Charcoal ,Flare Blitz ,Close Combat ,Mach Punch ,Will-O-Wisp ,Adamant ,- ,252,- ,- ,- ,252
394,Prinplup ,Prinplup ,Mystic Water Mystic Water ,Swagger ,Brine ,Facade ,Aqua Ring ,Hasty ,- ,- ,- ,252,- ,252
397,Staravia ,Staravia ,Sharp Beak Sharp Beak ,Brave Bird ,Facade ,Feather Dance ,Quick Attack ,Adamant ,- ,252,- ,- ,- ,252
400,Bibarel ,Bibarel ,Silk Scarf Silk Scarf ,Super Fang ,Waterfall ,Yawn ,Amnesia ,Jolly ,- ,252,- ,- ,- ,252
402,Kricketune ,Kricketune ,SilverPowder SilverPowder ,X-Scissor ,Slash ,Screech ,Sing ,Jolly ,- ,252,- ,- ,- ,252
404,Luxio ,Luxio ,Magnet Magnet ,Thunder Fang ,Quick Attack ,Thunder Wave ,Double Team ,Adamant ,- ,252,- ,- ,- ,252
408,Cranidos ,Cranidos ,Hard Stone Hard Stone ,Head Smash ,Headbutt ,Scary Face ,Stone Edge ,Jolly ,- ,252,- ,- ,- ,252
410,Shieldon ,Shieldon ,Hard Stone Hard Stone ,Metal Burst ,Iron Head ,Stone Edge ,Taunt ,Careful ,- ,- ,252,- ,252,-
413,Wormadam ,Wormadam ,SilverPowder SilverPowder ,Leaf Storm ,Razor Leaf ,Bug Bite ,Captivate ,Quiet ,- ,252,- ,252,- ,-
413,Wormadam ,Wormadam ,SilverPowder SilverPowder ,Dig ,Bug Bite ,Earth Power ,Captivate ,Brave ,- ,252,- ,252,- ,-
413,Wormadam ,Wormadam ,SilverPowder SilverPowder ,Iron Head ,Flash Cannon ,Bug Bite ,Captivate ,Relaxed ,- ,252,- ,252,- ,-
414,Mothim ,Mothim ,SilverPowder SilverPowder ,Silver Wind ,Air Slash ,Poison Powder ,Roost ,Timid ,- ,- ,- ,252,- ,252
417,Pachirisu ,Pachirisu ,Magnet Magnet ,Super Fang ,Swift ,Thunder ,Thunder Wave ,Modest ,- ,- ,- ,252,- ,252
425,Drifloon ,Drifloon ,Spell Tag Spell Tag ,Ominous Wind ,Air Cutter ,Will-O-Wisp ,Substitute ,Modest ,- ,- ,- ,252,252,-
427,Buneary ,Buneary ,Silk Scarf Silk Scarf ,Dizzy Punch ,Bounce ,Attract ,Charm ,Jolly ,- ,252,- ,- ,- ,252
441,Chatot ,Chatot ,Sharp Beak Sharp Beak ,Hyper Voice ,Chatter ,Roost ,Nasty Plot ,Modest ,- ,- ,- ,252,- ,252
444,Gabite ,Gabite ,Dragon Fang Dragon Fang ,Sandstorm ,Dig ,Dragon Claw ,Twister ,Jolly ,- ,252,- ,- ,- ,252
446,Munchlax ,Munchlax ,Silk Scarf Silk Scarf ,Body Slam ,Rock Tomb ,Rest ,Sleep Talk ,Adamant ,- ,252,252,- ,- ,-
458,Mantyke ,Mantyke ,Mystic Water Mystic Water ,Bounce ,Dive ,Aqua Ring ,Double Team ,Jolly ,- ,252,- ,- ,- ,252
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Group 3,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Pokémon from this list have a base stat total between 440 and 499 and will begin appearing after the player has reached Rank 6 of a matching type.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Argenta will randomly use one of the Pokémon listed here each time when challenged for the Silver Print if the player is also using a Pokémon with a base stat total between 440 and 499.,,,,,,,,,,,,,,
# ,Pokémon ,Item ,Moves ,Nature ,EVs,,,,,,,,,
HP ,Attack ,Defense ,Sp. Atk ,Sp. Def ,Speed,,,,,,,,,
18,Pidgeot ,Pidgeot ,Wise Glasses Wise Glasses ,Ominous Wind ,Heat Wave ,Air Slash ,Uproar ,Modest ,- ,- ,- ,252,- ,252
22,Fearow ,Fearow ,Muscle Band Muscle Band ,Drill Peck ,U-turn ,Steel Wing ,Feint Attack ,Jolly ,- ,252,- ,- ,- ,252
26,Raichu ,Raichu ,Muscle Band Muscle Band ,Thunder Punch ,Brick Break ,Iron Tail ,Quick Attack ,Adamant ,- ,252,- ,- ,- ,252
28,Sandslash ,Sandslash ,BrightPowder BrightPowder ,Sandstorm ,Slash ,Night Slash ,Dig ,Adamant ,- ,252,- ,- ,- ,252
31,Nidoqueen ,Nidoqueen ,Wise Glasses Wise Glasses ,Earth Power ,Sludge Bomb ,Attract ,Shadow Ball ,Modest ,- ,- ,252,252,- ,-
34,Nidoking ,Nidoking ,Muscle Band Muscle Band ,Dig ,Poison Jab ,Attract ,Megahorn ,Adamant ,- ,252,252,- ,- ,-
36,Clefable ,Clefable ,Lum Berry Lum Berry ,Return ,Ice Punch ,Fire Punch ,Thunder Punch ,Adamant ,- ,252,252,- ,- ,-
42,Golbat ,Golbat ,Razor Fang Razor Fang ,Sludge Bomb ,Ominous Wind ,Giga Drain ,Air Slash ,Modest ,- ,- ,- ,252,- ,252
45,Vileplume ,Vileplume ,Heat Rock Heat Rock ,Sludge Bomb ,Solar Beam ,Sunny Day ,Synthesis ,Modest ,- ,- ,- ,252,- ,252
49,Venomoth ,Venomoth ,Choice Specs Choice Specs ,Bug Buzz ,Psychic ,Sludge Bomb ,Energy Ball ,Modest ,- ,- ,- ,252,- ,252
53,Persian ,Persian ,King's Rock King's Rock ,Power Gem ,Water Pulse ,Swift ,Icy Wind ,Modest ,- ,- ,- ,252,- ,252
57,Primeape ,Primeape ,Expert Belt Expert Belt ,Cross Chop ,Gunk Shot ,Seed Bomb ,Stone Edge ,Adamant ,- ,252,- ,- ,- ,252
65,Alakazam ,Alakazam ,Expert Belt Expert Belt ,Psychic ,Focus Blast ,Energy Ball ,Signal Beam ,Timid ,- ,- ,- ,252,- ,252
71,Victreebel ,Victreebel ,White Herb White Herb ,Leaf Storm ,Grass Knot ,Toxic ,Worry Seed ,Modest ,252,- ,- ,252,- ,-
76,Golem ,Golem ,Quick Claw Quick Claw ,Stone Edge ,Earth Power ,Hammer Arm ,Sucker Punch ,Brave ,- ,252,- ,252,- ,-
80,Slowbro ,Slowbro ,Sitrus Berry Sitrus Berry ,Water Pulse ,Psychic ,Ice Beam ,Flamethrower ,Modest ,252,- ,- ,252,- ,-
82,Magneton ,Magneton ,Scope Lens Scope Lens ,Tri Attack ,Flash Cannon ,Thunderbolt ,Signal Beam ,Modest ,- ,- ,- ,252,- ,252
85,Dodrio ,Dodrio ,Liechi Berry Liechi Berry ,Drill Peck ,Rest ,Steel Wing ,Tri Attack ,Jolly ,- ,252,- ,- ,- ,252
87,Dewgong ,Dewgong ,Chesto Berry Chesto Berry ,Signal Beam ,Ice Beam ,Brine ,Rest ,Modest ,- ,- ,252,252,- ,-
97,Hypno ,Hypno ,Zoom Lens Zoom Lens ,Hypnosis ,Focus Blast ,Psychic ,Nightmare ,Quiet ,252,- ,- ,252,- ,-
99,Kingler ,Kingler ,Focus Sash Focus Sash ,Crabhammer ,X-Scissor ,Superpower ,Dig ,Adamant ,252,252,- ,- ,- ,-
101,Electrode ,Electrode ,King's Rock King's Rock ,Swift ,Thunderbolt ,Rollout ,Signal Beam ,Naive ,- ,- ,- ,252,- ,252
106,Hitmonlee ,Hitmonlee ,Salac Berry Salac Berry ,Endure ,Reversal ,High Jump Kick ,Bounce ,Jolly ,- ,252,- ,- ,- ,252
107,Hitmonchan ,Hitmonchan ,Choice Band Choice Band ,Sky Uppercut ,Thunder Punch ,Fire Punch ,Ice Punch ,Adamant ,- ,252,- ,- ,- ,252
110,Weezing ,Weezing ,Black Sludge Black Sludge ,Toxic ,Dark Pulse ,Flamethrower ,Thunderbolt ,Calm ,252,- ,- ,- ,252,-
112,Rhydon ,Rhydon ,Sitrus Berry Sitrus Berry ,Dig ,Stone Edge ,Rock Slide ,Megahorn ,Adamant ,252,252,- ,- ,- ,-
113,Chansey ,Chansey ,Zoom Lens Zoom Lens ,Blizzard ,Thunder ,Fire Blast ,Return ,Quiet ,252,- ,- ,252,- ,-
115,Kangaskhan ,Kangaskhan ,Persim Berry Persim Berry ,Dizzy Punch ,Outrage ,Sucker Punch ,Rest ,Adamant ,252,252,- ,- ,- ,-
117,Seadra ,Seadra ,Scope Lens Scope Lens ,Dragon Pulse ,Hydro Pump ,Flash Cannon ,Ice Beam ,Modest ,- ,- ,- ,252,- ,252
119,Seaking ,Seaking ,BrightPowder BrightPowder ,Megahorn ,Waterfall ,Poison Jab ,Bounce ,Adamant ,- ,252,- ,- ,- ,252
122,Mr. Mime ,Mr. Mime ,Sitrus Berry Sitrus Berry ,Power Swap ,Fire Punch ,Ice Punch ,Thunder Punch ,Adamant ,- ,252,- ,- ,- ,252
124,Jynx ,Jynx ,BrightPowder BrightPowder ,Lovely Kiss ,Blizzard ,Dream Eater ,Energy Ball ,Timid ,- ,- ,- ,252,- ,252
125,Electabuzz ,Electabuzz ,Sitrus Berry Sitrus Berry ,Thunder Punch ,Iron Tail ,Brick Break ,Thief ,Adamant ,- ,252,- ,- ,- ,252
126,Magmar ,Magmar ,Sitrus Berry Sitrus Berry ,Fire Punch ,Iron Tail ,Brick Break ,Thief ,Adamant ,- ,252,- ,- ,- ,252
128,Tauros ,Tauros ,Persim Berry Persim Berry ,Frustration ,Iron Tail ,Outrage ,Zen Headbutt ,Adamant ,- ,252,252,- ,- ,-
139,Omastar ,Omastar ,Wise Glasses Wise Glasses ,Ancient Power ,Hydro Pump ,Ice Beam ,Earth Power ,Modest ,252,- ,- ,252,- ,-
141,Kabutops ,Kabutops ,Muscle Band Muscle Band ,Night Slash ,Waterfall ,Stone Edge ,X-Scissor ,Adamant ,252,252,- ,- ,- ,-
164,Noctowl ,Noctowl ,Leftovers Leftovers ,Extrasensory ,Air Slash ,Silver Wind ,Ominous Wind ,Modest ,252,- ,- ,252,- ,-
171,Lanturn ,Lanturn ,Sitrus Berry Sitrus Berry ,Discharge ,Brine ,Signal Beam ,Ice Beam ,Modest ,252,- ,- ,252,- ,-
178,Xatu ,Xatu ,Leftovers Leftovers ,Psychic ,Air Cutter ,Ominous Wind ,Silver Wind ,Modest ,- ,- ,- ,252,- ,252
182,Bellossom ,Bellossom ,Big Root Big Root ,Leaf Blade ,Drain Punch ,Stun Spore ,Leaf Storm ,Brave ,- ,252,252,- ,- ,-
189,Jumpluff ,Jumpluff ,BrightPowder BrightPowder ,Seed Bomb ,Leech Seed ,U-turn ,Bounce ,Adamant ,- ,252,- ,- ,- ,252
199,Slowking ,Slowking ,Leftovers Leftovers ,Psychic ,Water Pulse ,Power Gem ,Shadow Ball ,Modest ,- ,- ,- ,252,252,-
203,Girafarig ,Girafarig ,Lum Berry Lum Berry ,Crunch ,Zen Headbutt ,Return ,Mirror Coat ,Adamant ,- ,252,- ,- ,- ,252
205,Forretress ,Forretress ,Lum Berry Lum Berry ,Gyro Ball ,Payback ,Bug Bite ,Counter ,Brave ,252,252,- ,- ,- ,-
210,Granbull ,Granbull ,Focus Band Focus Band ,Return ,Crunch ,Close Combat ,Stone Edge ,Adamant ,- ,252,252,- ,- ,-
221,Piloswine ,Piloswine ,BrightPowder BrightPowder ,Ice Fang ,Dig ,Body Slam ,Hail ,Adamant ,- ,252,252,- ,- ,-
224,Octillery ,Octillery ,Scope Lens Scope Lens ,Octazooka ,Gunk Shot ,Rock Blast ,Seed Bomb ,Brave ,- ,252,- ,252,- ,-
226,Mantine ,Mantine ,Expert Belt Expert Belt ,Signal Beam ,Earthquake ,Surf ,Aerial Ace ,Mild ,- ,- ,- ,252,- ,252
227,Skarmory ,Skarmory ,Razor Claw Razor Claw ,Rock Slide ,Night Slash ,Steel Wing ,Drill Peck ,Adamant ,- ,252,- ,- ,- ,252
234,Stantler ,Stantler ,King's Rock King's Rock ,Extrasensory ,Thunder ,Facade ,Shadow Ball ,Rash ,- ,- ,- ,252,- ,252
237,Hitmontop ,Hitmontop ,Salac Berry Salac Berry ,Triple Kick ,Aerial Ace ,Thief ,Twister ,Adamant ,- ,252,- ,- ,- ,252
241,Miltank ,Miltank ,Leftovers Leftovers ,Body Slam ,Zen Headbutt ,Hammer Arm ,Iron Tail ,Adamant ,- ,252,252,- ,- ,-
272,Ludicolo ,Ludicolo ,Leftovers Leftovers ,Giga Drain ,Water Pulse ,Rain Dance ,Ice Beam ,Modest ,- ,- ,252,252,- ,-
275,Shiftry ,Shiftry ,White Herb White Herb ,Leaf Storm ,Extrasensory ,Dark Pulse ,Focus Blast ,Modest ,- ,- ,- ,252,- ,252
286,Breloom ,Breloom ,Expert Belt Expert Belt ,Sky Uppercut ,Seed Bomb ,Stone Edge ,Thunder Punch ,Adamant ,- ,252,- ,- ,- ,252
288,Vigoroth ,Vigoroth ,Razor Claw Razor Claw ,Slash ,Night Slash ,Shadow Claw ,Thunder Punch ,Adamant ,- ,252,- ,- ,- ,252
291,Ninjask ,Ninjask ,Liechi Berry Liechi Berry ,X-Scissor ,Aerial Ace ,Dig ,Slash ,Adamant ,- ,252,252,- ,- ,-
295,Exploud ,Exploud ,Metronome Metronome ,Hyper Voice ,Water Pulse ,Flamethrower ,Ice Beam ,Modest ,- ,- ,252,252,- ,-
297,Hariyama ,Hariyama ,Focus Band Focus Band ,Vital Throw ,Payback ,Fake Out ,Thunder Punch ,Brave ,252,252,- ,- ,- ,-
310,Manectric ,Manectric ,Focus Sash Focus Sash ,Thunder ,Flamethrower ,Swift ,Signal Beam ,Modest ,- ,- ,- ,252,- ,252
317,Swalot ,Swalot ,Expert Belt Expert Belt ,Toxic ,Ice Punch ,Fire Punch ,Thunder Punch ,Adamant ,252,252,- ,- ,- ,-
319,Sharpedo ,Sharpedo ,Focus Sash Focus Sash ,Crunch ,Waterfall ,Ice Fang ,Zen Headbutt ,Adamant ,- ,252,- ,- ,- ,252
323,Camerupt ,Camerupt ,Power Herb Power Herb ,Eruption ,Earth Power ,Ancient Power ,Solar Beam ,Modest ,- ,- ,- ,252,252,-
